text,label
Felt secure entire journey,positive
Very calm and responsible driving,positive
Driver was okayish fr,neutral
Ride was okay nothing special lowkey,neutral
Super disappointed with this ride,negative
Driver didnt follow GPS properly,negative
Driver handled traffic like a pro,positive
Driver cancelled last min 😑 idk,negative
Totally satisfied with this trip,positive
Driving was rash and unsafe,negative
Driver was okayish,neutral
Best ride ever... not.,negative
Amazing trip overall ✨ tbh,positive
Driver was shouting on call,negative
Driver didnt follow GPS properly,negative
Very calm and responsible driving,positive
"Loved the ride, 5 stars ⭐⭐⭐⭐⭐",positive
Driver was rude and arrogant 😡,negative
Car condition was normal,neutral
Reached safely,neutral
Driver was patient and cooperative,positive
Top class service 👌 tbh,positive
Awesomeeee ride bro 💯 ngl,positive
"Driver was early, nice! bro",positive
"Driver was early, nice!",positive
Driver was patient and cooperative,positive
Ride was okay nothing special bro,neutral
"Smooth ride, felt safe the whole time ngl",positive
Ride went as expected,neutral
"Reached on time, great experience!",positive
Decent ride,neutral
AC not working and driver ignored it tbh,negative
Driver was verrry polite and helpful 😊,positive
Terrible experience overall,negative
Felt unsafe entire trip,negative
Felt secure entire journey,positive
Such a nice experience ngl,positive
Top class service 👌,positive
Worst ride ever,negative
Ride went as expected,neutral
Driver was shouting on call fr,negative
It was manageable,neutral
Terrible experience overall,negative
Driving was rash and unsafe lowkey,negative
Totally satisfied with this trip,positive
Trip completed successfully bro,neutral
Driver kept using phone while driving,negative
Very bad service,negative
Felt unsafe entire trip,negative
Very bad service,negative
It was manageable,neutral
Everything was standard,neutral
Felt secure entire journey,positive
Car condition was normal bro,neutral
He drove too fast!! 😤,negative
Nothing unusual during trip,neutral
AC not working and drivr ignored it,negative
"Reached on time, great experience!",positive
Trip was alright 👍,neutral
It was just fine,neutral
Driver didnt follow GPS properly bro,negative
Worst ride ever lowkey,negative
It was normal,neutral
Driver came on time,neutral
Trip completed successfully,neutral
He drove too fast!! 😤,negative
Completely unsatisfactory trip,negative
Great driving skills fr,positive
Worst ride ever,negative
Driving was rash and unsafe,negative
"Reached on time, great experience!",positive
"Reached on time, great experience!",positive
Everrrything was standard,neutral
It was normal,neutral
Driver was shouting on call,negative
No issues faced,neutral
Super smooth braking and acceleration,positive
Driver was rude and arrogant 😡,negative
AC not working and driver ignored it,negative
Driver was patient and cooperative,positive
Driver was shouting on call,negative
Worst ride ever,negative
Car was clean and smelled nice,positive
Car was clean and smelled nice,positive
Reached safely,neutral
Driver was quiet but okay,neutral
Driver did his job ngl,neutral
Nothing unusual during trip,neutral
Reached very late idk,negative
It was manageable,neutral
Driver didnt follow GPS properly,negative
Driver was rude and arrogant 😡,negative
Totally satisfied with this trip,positive
Driver was patient and cooperative,positive
Terrible experience overall,negative
Driver kept using phone while driving,negative
Honestly one of the best rides,positive
Completely unsatisfactory trip lowkey,negative
He drove too fast!! 😤,negative
Driver was okayish,neutral
"Loved the ride, 5 stars ⭐⭐⭐⭐⭐",positive
Driver was patient and cooperative,positive
"Smooth ride, felt safe the whole time",positive
Nothing unusual during trip idk,neutral
Reached safely tbh,neutral
Car was dirty and smelly 🤢,negative
It was normal,neutral
Driver was shouting on call,negative
Amazing trip overall ✨ fr,positive
No issues faced,neutral
Felt unsafe entire trip,negative
Driver argued unnecessarily tbh,negative
It was just fine,neutral
Wow what a 'great' driver 😒,negative
Driver was super friendly and chill 😎,positive
Felt unsafe entire trip,negative
Very calm and responsible driving tbh,positive
It was manageable fr,neutral
Ride went as expected,neutral
Terrible experience overall lowkey,negative
Reached very late tbh,negative
Reached very late,negative
Honestly one of the best rides fr,positive
Driver kept using phone while driving fr,negative
Terrible experience overall,negative
Driver handled traffic like a pro,positive
Very unprofessional behavior,negative
Driver didnt follow GPS properly,negative
Reached very late,negative
Driver was okayish,neutral
Driver did his job,neutral
It was manageable,neutral
Professional and respectful driver lowkey,positive
Driver didnt follow GPS properly bro,negative
Trip was alright 👍,neutral
Car condition was normal,neutral
He was careless and distracted fr,negative
Driver was super friendly and chill 😎,positive
Sure felt super safe lol,negative
Decent ride,neutral
Driver kept using phone while driving bro,negative
Worst ride ever,negative
Driver was shouting on call,negative
Very bad service,negative
It was normal,neutral
Car was dirty and smelly 🤢 fr,negative
Ride was okay nothing special,neutral
Driver didnt follow GPS properly,negative
Driving was rash and unsafe lowkey,negative
Very calm and responsible driving,positive
Very unprofessional behavior,negative
Driver was rude and arrogant 😡,negative
Reached very late,negative
Car was dirty and smelly 🤢 bro,negative
He drove too fast!! 😤 tbh,negative
Felt unsafe entire trip bro,negative
Great driving skills fr tbh,positive
Driver was verrry polite and helpful 😊,positive
Car condition was normal idk,neutral
Driver was okayish fr,neutral
Best ride ever... not.,negative
Driver was rude and arrogant 😡 tbh,negative
Amazing trip overall ✨,positive
Trip was fine lowkey,neutral
Ride was okay nothing special,neutral
Super disappointed with this ride,negative
It was normal ngl,neutral
Driver did his job,neutral
Reached very late,negative
Wow what a 'great' driver 😒,negative
Awesomeeee ride bro 💯 ngl,positive
Driver came on time,neutral
Ride went as expected,neutral
Driver was super friendly and chill 😎 ngl,positive
Car condition was normal idk,neutral
Ride was okay nothing special,neutral
Driver did his job fr,neutral
Super smooth braking and acceleration tbh,positive
Awesomeeee ride bro 💯 lowkey,positive
Driver came on time,neutral
Driver came on time lowkey,neutral
Driver was rude and arrogant 😡,negative
Reached very late tbh,negative
Honestly one of the best rides,positive
Not bad not great,neutral
Nothing unusual during trip,neutral
Car was dirty and smelly 🤢,negative
Completely unsatisfactory trip,negative
Nothing unusual during trip,neutral
Best ride ever... not.,negative
Felt secure entire journey bro,positive
Trip completed successfully,neutral
Felt unsafe entire trip,negative
Driver was very polite and helpful 😊,positive
Felt secure entire journey,positive
Trip completed successfully,neutral
Decent ride bro,neutral
Super smooth braking and acceleration tbh,positive
Car was clean and smelled nice,positive
Not bad not great,neutral
Ride was okay nothing special bro,neutral
Reached very late ngl,negative
Driver was quiet but okay,neutral
Driver argued unnecessarily,negative
Honestly one of the best rides,positive
Awesomeeee ride bro 💯 tbh,positive
Ride went as expected,neutral
Ride was okay nothing special,neutral
Driver was shouting on call,negative
Worst ride ever,negative
AC not working and driver ignored it fr,negative
Braking was harsh and scary lowkey,negative
Average experience overall lowkey,neutral
Sure felt super safe lol,negative
Wow what a 'great' driver 😒,negative
Awesomeeee ride bro 💯,positive
Car was clean and smelled nice,positive
Driver was shouting on call,negative
Wow what a 'great' driver 😒,negative
"Loved the ride, 5 stars ⭐⭐⭐⭐⭐",positive
Driving was rash and unsafe,negative
Super smooth braking and acceleration,positive
Driver was patient and cooperative bro,positive
Sure felt super safe lol,negative
Reached safely,neutral
Ride was okay nothing special,neutral
"Smooth ride, felt safe the whole time lowkey",positive
Car was clean and smelled nice fr,positive
"Reached on time, great experience!",positive
Felt secure entire journey,positive
"Driver was early, nice!",positive
Driver handled traffic like a pro,positive
Such a nice experience ngl,positive
Car was dirty and smelly 🤢 lowkey,negative
He was careless and distracted,negative
Driving was rash and unsafe bro,negative
Driving was rash and unsafe,negative
Trip was alright 👍,neutral
Ride was okay nothing special,neutral
Not bad not great tbh,neutral
It was just fine,neutral
Driver did his job,neutral
Trip completed successfully,neutral
Reached verrry late ngl,negative
Felt unsafe entire trip,negative
Driver kept using phone while driving,negative
Ride was okay nothing special,neutral
No issues faced,neutral
Driver was very polite and helpful 😊 idk,positive
Driver handled traffic like a pro lowkey,positive
Professional and respectful driver lowkey,positive
Ride was okay nothing special,neutral
Driver cancelled last min 😑,negative
Driver was patient and cooperative idk,positive
Completely unsatisfactory trip,negative
Great driving skills fr idk,positive
Car was dirty and smelly 🤢 tbh,negative
Completely unsatisfactory trip,negative
Everything was standard,neutral
Felt unsafe entire trip,negative
Driver was okayish,neutral
"Reached on time, great experience!",positive
Driver didnt follow GPS properly,negative
Driving was rash and unsafe fr,negative
Driver did his job ngl,neutral
Super disappointed with this ride,negative
Driver kept using phone while driving,negative
Driver was rude and arrogant 😡,negative
Ride went as expected,neutral
Driver did his job,neutral
Driver was super friendly and chill 😎,positive
Totally satisfied with this trip,positive
Decent ride,neutral
Everything was standard,neutral
He was careless and distracted,negative
